"","X","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageCars","GarageArea","GarageQual","GarageCond","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MoSold","YrSold","SaleType","SaleCondition","HouseAge","GarageAge","RemodAddAge","SalePriceThousands"
"703",703,1,60,"RL",82,12438,NA,"StoneBr","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Ex","TA","Ex","Gd","Unf",0,"Unf",0,1234,1234,"GasA","SBrkr",1264,1312,0,2576,0,0,2,1,4,1,"Ex",10,"Typ",1,"BuiltIn",3,666,"TA","TA",324,100,0,0,0,0,NA,NA,7,2006,"New","Partial",0,0,0,361.919
"704",704,1,190,"RM",76,7630,NA,"OldTown","Feedr","Norm","2fmCon","2Story",5,9,"CompShg","Wd Sdng","Wd Sdng","TA","Gd","Gd","TA","Unf",0,"Unf",0,360,360,"GasA","SBrkr",1032,780,0,1812,0,0,2,0,4,2,"Gd",8,"Typ",1,"Detchd",2,672,"TA","TA",344,0,40,0,0,0,NA,"MnPrv",5,2010,"WD","Normal",110,11,14,140
"705",705,1,20,"RL",70,8400,NA,"CollgCr","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",712,"Unf",0,761,1473,"GasA","SBrkr",1484,0,0,1484,1,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2,606,"TA","TA",0,35,0,144,0,0,NA,NA,5,2010,"WD","Normal",6,6,5,213
"706",706,1,190,"RM",70,5600,NA,"IDOTRR","Norm","Norm","2fmCon","2Story",4,5,"CompShg","VinylSd","Wd Shng","Fa","Fa",NA,NA,NA,0,NA,0,0,0,"GasA","SBrkr",372,720,0,1092,0,0,2,0,3,2,"Fa",7,"Mod",0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,7,2010,"WD","Normal",80,0,60,55
"707",707,1,20,"RL",0,115149,NA,"ClearCr","Norm","Norm","1Fam","1Story",7,5,"CompShg","Plywood","Plywood","TA","TA","Gd","TA","GLQ",1219,"Unf",0,424,1643,"GasA","SBrkr",1824,0,0,1824,1,0,2,0,2,1,"Gd",5,"Typ",2,"Attchd",2,739,"TA","TA",380,48,0,0,0,0,NA,NA,6,2007,"WD","Normal",36,36,5,302
"708",708,1,120,"RL",48,6240,NA,"NridgHt","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","MetalSd","MetalSd","Gd","TA","Gd","TA","GLQ",863,"Unf",0,461,1324,"GasA","SBrkr",1324,0,0,1324,1,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2,550,"TA","TA",192,38,0,0,0,0,NA,NA,12,2009,"WD","Normal",3,3,3,254
"709",709,1,60,"RL",65,9018,NA,"Gilbert","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,728,728,"GasA","SBrkr",728,728,0,1456,0,0,2,1,3,1,"Gd",8,"Typ",1,"Attchd",2,400,"TA","TA",100,24,0,0,0,0,NA,NA,7,2007,"New","Partial",0,0,0,179.54
"710",710,1,20,"RL",0,7162,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,7,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","Unf",0,"Unf",0,876,876,"GasA","SBrkr",904,0,0,904,0,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1,408,"TA","TA",0,0,0,0,0,0,NA,"MnPrv",12,2008,"WD","Abnorml",42,42,42,109.9
"711",711,1,30,"RL",56,4130,NA,"BrkSide","Norm","Norm","1Fam","1Story",3,6,"CompShg","VinylSd","VinylSd","Gd","TA","TA","TA","Unf",0,"Unf",0,270,270,"GasA","SBrkr",729,0,0,729,0,0,1,0,2,1,"TA",5,"Maj2",0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,7,2008,"WD","Normal",73,0,5,52
"712",712,1,50,"C (all)",66,8712,"Pave","IDOTRR","Norm","Norm","1Fam","1.5Fin",4,7,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Unf",0,"Unf",0,859,859,"GasA","SBrkr",859,319,0,1178,0,0,1,0,2,1,"TA",7,"Typ",0,"Detchd",1,384,"TA","TA",68,0,98,0,0,0,NA,NA,1,2010,"WD","Abnorml",110,46,60,102.776
"713",713,1,120,"RL",40,4671,NA,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","HdBoard","HdBoard","Gd","TA","Gd","TA","GLQ",767,"Unf",0,461,1228,"GasA","SBrkr",1228,0,0,1228,1,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2,472,"TA","TA",168,120,0,0,0,0,NA,NA,10,2008,"WD","Normal",20,20,19,189
"714",714,1,190,"RL",60,9873,NA,"BrkSide","RRAn","Norm","2fmCon","1Story",4,5,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","ALQ",789,"Unf",0,171,960,"GasW","SBrkr",960,0,0,960,1,0,1,0,3,1,"TA",6,"Typ",0,"Detchd",2,576,"TA","TA",0,288,0,0,0,0,NA,NA,5,2006,"WD","Normal",36,36,36,129
"715",715,1,60,"RL",0,13517,NA,"Sawyer","RRAe","Norm","1Fam","2Story",6,8,"CompShg","HdBoard","Plywood","Gd","TA","TA","TA","GLQ",533,"Unf",0,192,725,"GasA","SBrkr",725,754,0,1479,0,0,2,1,3,1,"Gd",6,"Typ",0,"Attchd",2,475,"TA","TA",0,44,0,0,0,0,NA,NA,3,2010,"WD","Normal",34,34,5,130.5
"716",716,1,20,"RL",78,10140,NA,"NWAmes","Norm","Norm","1Fam","1Story",6,5,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","Unf",0,"Unf",0,1064,1064,"GasA","SBrkr",1350,0,0,1350,0,0,2,0,3,1,"TA",7,"Typ",1,"Attchd",2,478,"TA","TA",0,0,0,0,0,0,NA,"MnPrv",8,2009,"WD","Normal",35,35,35,165
"717",717,1,70,"RM",60,10800,"Grvl","OldTown","Norm","Norm","1Fam","2Story",7,8,"CompShg","Wd Sdng","VinylSd","TA","Gd","TA","TA","Unf",0,"Unf",0,718,718,"GasA","SBrkr",1576,978,0,2554,0,0,1,1,3,1,"TA",8,"Typ",0,"Detchd",2,704,"TA","TA",0,48,143,0,0,0,NA,NA,7,2007,"WD","Normal",117,11,9,159.5
"718",718,1,20,"RL",80,10000,NA,"NWAmes","Norm","Norm","1Fam","1Story",5,6,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","BLQ",1084,"Unf",0,92,1176,"GasA","SBrkr",1178,0,0,1178,0,1,1,1,3,1,"Gd",5,"Typ",1,"Attchd",2,439,"TA","TA",224,0,0,0,0,0,NA,"MnPrv",11,2008,"WD","Normal",35,35,8,157
"719",719,1,60,"RL",96,10542,NA,"NoRidge","Norm","Norm","1Fam","2Story",7,5,"CompShg","Wd Sdng","ImStucc","Gd","TA","Gd","TA","GLQ",1173,"Unf",0,138,1311,"GasA","SBrkr",1325,1093,0,2418,1,0,2,1,3,1,"Gd",9,"Typ",1,"Attchd",3,983,"TA","TA",250,154,216,0,0,0,NA,NA,8,2008,"WD","Normal",15,15,14,341
"720",720,1,20,"RL",69,9920,NA,"CollgCr","Norm","Norm","1Fam","1Story",5,6,"CompShg","HdBoard","Plywood","TA","TA","Gd","TA","ALQ",523,"Unf",0,448,971,"GasA","SBrkr",971,0,0,971,0,0,1,1,3,1,"TA",5,"Typ",1,"Attchd",1,300,"TA","TA",0,0,0,0,0,0,NA,NA,5,2006,"WD","Normal",37,37,37,128.5
"721",721,1,120,"RL",0,6563,NA,"StoneBr","Norm","Norm","1Fam","1Story",8,5,"CompShg","HdBoard","HdBoard","Gd","TA","Gd","TA","GLQ",1148,"Unf",0,594,1742,"GasA","SBrkr",1742,0,0,1742,1,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2,564,"TA","TA",114,28,234,0,0,0,NA,NA,12,2006,"WD","Normal",21,21,21,275
"722",722,1,120,"RM",0,4426,NA,"CollgCr","Norm","Norm","TwnhsE","1Story",6,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",662,"Unf",0,186,848,"GasA","SBrkr",848,0,0,848,1,0,1,0,1,1,"Gd",3,"Typ",0,"Attchd",2,420,"TA","TA",160,0,0,0,0,0,NA,NA,5,2010,"WD","Normal",6,6,6,143
"723",723,1,20,"RL",70,8120,NA,"NAmes","Norm","Norm","1Fam","1Story",4,7,"CompShg","MetalSd","MetalSd","TA","Gd","TA","TA","ALQ",191,"Unf",0,673,864,"GasA","SBrkr",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",2,463,"TA","TA",0,0,0,0,0,0,NA,NA,7,2009,"WD","Normal",39,15,39,124.5
"724",724,1,50,"RL",60,8172,NA,"Edwards","Norm","Norm","1Fam","1.5Fin",4,6,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","Unf",0,"Unf",0,941,941,"GasA","SBrkr",997,473,0,1470,0,0,2,0,4,1,"TA",7,"Typ",0,"Detchd",1,548,"TA","TA",0,0,0,0,156,0,NA,NA,5,2008,"WD","Normal",54,50,36,135
"725",725,1,20,"RL",86,13286,NA,"Edwards","Norm","Norm","1Fam","1Story",9,5,"CompShg","CemntBd","CmentBd","Ex","TA","Ex","TA","GLQ",1234,"Unf",0,464,1698,"GasA","SBrkr",1698,0,0,1698,1,0,2,0,3,1,"Ex",8,"Typ",1,"Attchd",3,768,"TA","TA",327,64,0,0,0,0,NA,NA,2,2009,"WD","Normal",2,2,1,320
"726",726,1,20,"RL",60,6960,NA,"NAmes","Norm","Norm","1Fam","1Story",4,6,"CompShg","HdBoard","Plywood","TA","TA","TA","TA","ALQ",375,"BLQ",239,250,864,"GasA","SBrkr",864,0,0,864,0,0,1,0,3,1,"Gd",5,"Typ",0,"Detchd",2,660,"TA","TA",96,0,0,0,0,0,NA,NA,11,2009,"WD","Normal",39,20,39,120.5
"727",727,1,20,"RL",0,21695,NA,"Crawfor","Norm","Norm","1Fam","1Story",6,9,"CompShg","Wd Sdng","Plywood","Gd","Gd","Gd","TA","GLQ",808,"Unf",0,72,880,"GasA","SBrkr",1680,0,0,1680,1,0,2,0,3,1,"Gd",5,"Typ",1,"Attchd",2,540,"TA","TA",292,44,0,182,0,0,NA,NA,12,2009,"WD","Normal",21,21,2,222
"728",728,1,20,"RL",64,7314,NA,"CollgCr","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",724,"Unf",0,508,1232,"GasA","SBrkr",1232,0,0,1232,1,0,2,0,2,1,"Gd",6,"Typ",0,"Attchd",2,632,"TA","TA",132,0,0,0,0,0,NA,NA,2,2009,"WD","Normal",2,2,2,194.5
"729",729,1,90,"RL",85,11475,NA,"NAmes","Norm","Norm","Duplex","1Story",5,5,"CompShg","VinylSd","VinylSd","TA","TA","TA","TA","Unf",0,"Unf",0,1584,1584,"GasA","SBrkr",1776,0,0,1776,1,0,2,0,4,2,"TA",9,"Typ",0,"Detchd",3,888,"TA","TA",0,25,0,0,0,0,NA,NA,7,2009,"COD","Abnorml",51,41,51,110
"730",730,1,30,"RM",52,6240,"Grvl","IDOTRR","Norm","Norm","1Fam","1.5Fin",4,5,"CompShg","MetalSd","MetalSd","TA","TA","TA","TA","BLQ",152,"Unf",0,628,780,"GasA","FuseA",848,0,360,1208,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",2,539,"TA","TA",0,23,112,0,0,0,NA,NA,1,2009,"WD","Normal",84,47,59,103
"731",731,1,120,"RL",39,5389,NA,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","CemntBd","CmentBd","Gd","TA","Gd","TA","GLQ",1180,"Unf",0,415,1595,"GasA","SBrkr",1616,0,0,1616,1,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2,608,"TA","TA",237,152,0,0,0,0,NA,NA,3,2010,"WD","Normal",15,15,14,236.5
"732",732,1,80,"RL",73,9590,NA,"Timber","Norm","Norm","1Fam","SLvl",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Ex","TA","GLQ",786,"Unf",0,82,868,"GasA","SBrkr",1146,0,0,1146,1,0,2,0,3,1,"Gd",6,"Typ",1,"Attchd",2,438,"TA","TA",160,22,0,0,0,0,NA,NA,5,2007,"WD","Normal",4,4,4,187.5
"733",733,1,60,"RL",75,11404,NA,"CollgCr","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","ALQ",252,"Unf",0,901,1153,"GasA","SBrkr",1153,878,0,2031,0,0,2,1,3,1,"Gd",8,"Typ",1,"Attchd",2,541,"TA","TA",192,84,0,0,0,0,NA,NA,7,2008,"WD","Normal",10,10,9,222.5
"734",734,1,20,"RL",80,10000,NA,"Sawyer","Feedr","Norm","1Fam","1Story",5,6,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","BLQ",594,"Unf",0,270,864,"GasA","SBrkr",1144,0,0,1144,1,0,1,0,3,1,"TA",6,"Typ",1,"Attchd",1,264,"TA","TA",165,0,0,0,0,0,NA,"GdWo",3,2009,"WD","Normal",48,48,26,131.4
"735",735,1,20,"RL",0,8978,NA,"Sawyer","Norm","Norm","1Fam","1Story",5,5,"CompShg","Plywood","Plywood","TA","TA","TA","TA","Unf",0,"Unf",0,948,948,"GasA","SBrkr",948,0,0,948,0,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1,300,"TA","TA",147,0,0,0,0,0,NA,NA,5,2007,"WD","Family",39,39,39,108
"736",736,1,75,"RM",60,10800,NA,"OldTown","Norm","Norm","1Fam","2.5Unf",7,7,"CompShg","Wd Sdng","Wd Sdng","TA","TA","Gd","TA","Rec",390,"Unf",0,490,880,"GasW","SBrkr",880,888,0,1768,0,0,1,1,2,1,"TA",6,"Typ",2,"Detchd",2,320,"TA","TA",0,341,0,0,0,0,NA,NA,10,2006,"WD","Normal",92,92,36,163
"737",737,1,90,"RL",60,8544,NA,"NAmes","Norm","Norm","Duplex","1Story",3,4,"CompShg","Stucco","Stone","TA","TA",NA,NA,NA,0,NA,0,0,0,"GasA","FuseF",1040,0,0,1040,0,0,2,0,2,2,"TA",6,"Typ",0,"Detchd",2,400,"TA","TA",0,0,0,0,0,0,NA,NA,7,2006,"WD","Normal",56,57,56,93.5
"738",738,1,60,"RL",72,10463,NA,"Gilbert","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,893,893,"GasA","SBrkr",901,900,0,1801,0,0,2,1,3,1,"Gd",8,"Typ",1,"Attchd",3,800,"TA","TA",0,116,0,0,0,0,NA,NA,6,2006,"WD","Normal",1,1,1,239.9
"739",739,1,90,"RL",60,10800,NA,"Edwards","Norm","Norm","Duplex","1Story",5,5,"CompShg","Plywood","Plywood","TA","TA","Gd","Gd","GLQ",1200,"Unf",0,0,1200,"GasA","SBrkr",1200,0,0,1200,3,0,3,0,3,1,"TA",5,"Typ",0,NA,0,0,NA,NA,120,0,0,0,0,0,NA,NA,3,2009,"WD","Alloca",22,0,21,179
"740",740,1,60,"RL",65,9313,NA,"CollgCr","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,864,864,"GasA","SBrkr",864,864,0,1728,0,0,2,1,3,1,"Gd",7,"Typ",0,"Attchd",2,572,"TA","TA",187,56,0,0,0,0,NA,NA,4,2009,"WD","Normal",5,5,5,190
"741",741,1,70,"RM",60,9600,"Grvl","OldTown","Norm","Norm","1Fam","2Story",5,7,"CompShg","Wd Sdng","Wd Shng","TA","Gd","Fa","Fa","Unf",0,"Unf",0,264,264,"GasA","SBrkr",768,664,0,1432,0,0,2,0,2,1,"TA",7,"Typ",0,"Detchd",2,360,"TA","Gd",270,0,112,0,0,0,NA,"GdPrv",5,2007,"WD","Abnorml",97,97,5,132
"742",742,1,20,"RL",65,6768,NA,"Sawyer","Feedr","Norm","1Fam","1Story",6,8,"CompShg","HdBoard","HdBoard","TA","Gd","TA","TA","GLQ",832,"Unf",0,80,912,"GasA","SBrkr",912,0,0,912,1,1,1,0,3,1,"Gd",5,"Typ",0,"Detchd",1,288,"TA","TA",168,0,0,0,0,0,NA,"GdPrv",5,2008,"WD","Normal",47,46,12,142
"743",743,1,20,"RL",65,8450,NA,"SawyerW","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","Unf",0,"Unf",0,1349,1349,"GasA","SBrkr",1349,0,0,1349,0,0,2,0,3,1,"TA",6,"Typ",0,"Attchd",2,539,"TA","TA",120,55,0,0,0,0,NA,"GdPrv",12,2007,"WD","Normal",7,7,6,179
"744",744,1,80,"RL",70,12886,NA,"Sawyer","Norm","Norm","1Fam","SLvl",5,6,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","ALQ",444,"Unf",0,76,520,"GasA","SBrkr",1464,0,0,1464,0,1,2,0,3,1,"TA",6,"Min2",1,"Attchd",2,480,"TA","TA",302,0,0,0,100,0,NA,NA,10,2009,"WD","Normal",46,12,10,175
"745",745,1,120,"RL",41,5395,NA,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","HdBoard","HdBoard","Gd","TA","Gd","TA","GLQ",733,"Unf",0,604,1337,"GasA","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2,462,"TA","TA",96,0,70,168,0,0,NA,NA,10,2008,"WD","Normal",15,15,15,180
"746",746,1,60,"RL",0,8963,NA,"NWAmes","Norm","Norm","1Fam","2Story",8,9,"CompShg","VinylSd","VinylSd","Ex","Gd","TA","Gd","GLQ",575,"ALQ",80,487,1142,"GasA","SBrkr",1175,1540,0,2715,0,1,3,1,4,1,"Gd",11,"Typ",2,"BuiltIn",2,831,"TA","TA",0,204,0,0,0,0,NA,NA,7,2008,"WD","Normal",32,14,12,299.8
"747",747,1,60,"RL",0,8795,NA,"Gilbert","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",300,"Unf",0,652,952,"GasA","SBrkr",980,1276,0,2256,0,0,2,1,4,1,"Gd",8,"Typ",1,"BuiltIn",2,554,"TA","TA",224,54,0,0,0,0,NA,NA,4,2009,"WD","Normal",9,9,9,236
"748",748,1,70,"RM",65,11700,"Pave","OldTown","Norm","Norm","1Fam","2Story",7,7,"CompShg","Stucco","Stucco","Gd","TA","TA","Fa","Unf",0,"Unf",0,1240,1240,"GasW","SBrkr",1320,1320,0,2640,0,0,1,1,4,1,"Gd",8,"Typ",1,"Detchd",4,864,"TA","TA",181,0,386,0,0,0,NA,NA,5,2009,"WD","Normal",129,59,6,265.979
"749",749,1,20,"RL",59,10593,NA,"NoRidge","Norm","Norm","1Fam","1Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",919,"Unf",0,801,1720,"GasA","SBrkr",1720,0,0,1720,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2,527,"TA","TA",240,56,154,0,0,0,NA,NA,3,2010,"WD","Normal",14,14,14,260.4
"750",750,1,50,"RL",50,8405,NA,"Edwards","Norm","Norm","1Fam","1.5Fin",4,3,"CompShg","WdShing","Wd Shng","TA","TA",NA,NA,NA,0,NA,0,0,0,"Wall","FuseF",1088,441,0,1529,0,0,2,0,4,1,"TA",9,"Mod",0,"Detchd",1,240,"TA","TA",92,0,185,0,0,0,NA,NA,4,2009,"WD","Normal",64,64,59,98
"751",751,1,50,"RM",55,8800,"Grvl","OldTown","Norm","Norm","1Fam","1.5Fin",4,7,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","Fa","Unf",0,"Unf",0,576,576,"GasA","SBrkr",792,348,0,1140,0,0,1,0,3,1,"TA",7,"Min2",0,NA,0,0,NA,NA,0,160,0,0,0,0,NA,NA,6,2010,"WD","Normal",100,0,6,96.5
"752",752,1,60,"RL",0,7750,NA,"Gilbert","RRAn","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,660,660,"GasA","SBrkr",660,660,0,1320,0,0,2,1,3,1,"Gd",6,"Typ",0,"Attchd",2,400,"TA","TA",0,48,0,0,0,0,NA,NA,8,2007,"WD","Normal",4,4,4,162
"753",753,1,20,"RL",79,9236,NA,"CollgCr","Norm","Norm","1Fam","1Story",6,5,"CompShg","VinylSd","VinylSd","TA","Gd","Gd","TA","GLQ",1200,"Unf",0,279,1479,"GasA","SBrkr",1494,0,0,1494,1,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",2,576,"TA","TA",168,27,0,0,0,0,NA,NA,7,2006,"WD","Normal",9,9,9,217
"754",754,1,60,"RL",80,10240,NA,"NridgHt","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1030,1030,"GasA","SBrkr",1038,1060,0,2098,0,0,2,1,3,1,"Ex",8,"Typ",1,"Attchd",3,878,"TA","TA",192,52,0,0,0,0,NA,NA,3,2006,"WD","Normal",1,1,1,275.5
"755",755,1,20,"RL",61,7930,NA,"NAmes","Norm","Norm","1Fam","1Story",6,8,"CompShg","Plywood","Plywood","TA","TA","TA","TA","GLQ",439,"LwQ",472,115,1026,"GasA","SBrkr",1026,0,0,1026,1,0,1,0,3,1,"Gd",5,"Typ",0,"Detchd",2,440,"TA","TA",171,48,0,0,0,0,NA,NA,7,2009,"WD","Normal",40,40,4,156
"756",756,1,160,"FV",34,3230,"Pave","Somerst","Norm","Norm","TwnhsE","2Story",6,5,"CompShg","MetalSd","MetalSd","TA","TA","Gd","TA","GLQ",381,"Unf",0,348,729,"GasA","SBrkr",742,729,0,1471,0,0,2,1,3,1,"TA",6,"Typ",0,"Detchd",2,440,"TA","TA",0,24,0,0,0,0,NA,NA,3,2009,"WD","Normal",10,10,10,172.5
"757",757,1,60,"RL",68,10769,NA,"CollgCr","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",20,"Unf",0,846,866,"GasA","SBrkr",866,902,0,1768,0,0,2,1,3,1,"Gd",7,"Typ",0,"Attchd",2,578,"TA","TA",144,105,0,0,0,0,NA,NA,4,2009,"WD","Normal",2,2,2,212
"758",758,1,60,"RL",0,11616,NA,"Sawyer","Norm","Norm","1Fam","2Story",6,5,"CompShg","HdBoard","HdBoard","TA","TA","TA","TA","Rec",438,"Unf",0,234,672,"GasA","SBrkr",672,714,0,1386,0,0,2,1,3,1,"TA",6,"Typ",1,"Attchd",2,440,"TA","TA",335,0,0,0,0,0,NA,"GdPrv",4,2010,"WD","Abnorml",32,32,32,158.9
"759",759,1,160,"FV",24,2280,"Pave","Somerst","Norm","Norm","Twnhs","2Story",7,5,"CompShg","MetalSd","MetalSd","TA","TA","Gd","TA","ALQ",549,"Unf",0,195,744,"GasA","SBrkr",757,744,0,1501,0,0,2,1,3,1,"TA",6,"Typ",0,"Detchd",2,440,"TA","TA",0,0,0,0,0,0,NA,NA,8,2008,"WD","Normal",9,9,9,179.4
"760",760,1,60,"RL",65,12257,NA,"NoRidge","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","LwQ",56,"ALQ",64,1198,1318,"GasA","SBrkr",1328,1203,0,2531,0,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd",3,752,"TA","TA",222,98,0,0,0,0,NA,NA,11,2007,"WD","Normal",12,12,12,290
"761",761,1,20,"RL",70,9100,NA,"NAmes","Norm","Norm","1Fam","1Story",6,6,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","Rec",612,"Unf",0,252,864,"GasA","SBrkr",864,0,0,864,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",1,300,"Ex","Ex",0,0,0,0,0,0,NA,NA,10,2009,"WD","Normal",50,1,50,127.5
"762",762,1,30,"RM",60,6911,NA,"BrkSide","Feedr","Norm","1Fam","1Story",5,5,"CompShg","Wd Sdng","Wd Sdng","TA","TA","TA","TA","LwQ",405,"Unf",0,740,1145,"GasA","SBrkr",1301,0,0,1301,0,0,1,0,2,1,"Fa",5,"Min1",0,"Detchd",2,440,"TA","TA",0,0,0,0,0,0,NA,NA,10,2009,"WD","Normal",85,44,59,100
"763",763,1,60,"FV",72,8640,NA,"Somerst","Norm","Norm","1Fam","2Story",7,5,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","GLQ",24,"Unf",0,732,756,"GasA","SBrkr",764,783,0,1547,0,0,2,1,3,1,"Gd",7,"Typ",0,"Attchd",2,614,"TA","TA",169,45,0,0,0,0,NA,NA,6,2010,"Con","Normal",1,1,1,215.2
"764",764,1,60,"RL",82,9430,NA,"NoRidge","Norm","Norm","1Fam","2Story",8,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","GLQ",1163,"Unf",0,89,1252,"GasA","SBrkr",1268,1097,0,2365,1,0,2,1,3,1,"Gd",8,"Typ",1,"Attchd",3,856,"TA","TA",0,128,0,0,180,0,NA,NA,7,2009,"WD","Normal",10,10,10,337
"765",765,1,120,"RL",30,9549,NA,"Veenker","Norm","Norm","TwnhsE","1Story",8,5,"CompShg","BrkFace","BrkFace","Gd","Gd","Gd","Gd","LwQ",437,"GLQ",1057,0,1494,"GasA","SBrkr",1494,0,0,1494,1,0,1,1,2,1,"Ex",6,"Typ",1,"Attchd",2,481,"TA","TA",0,30,0,0,216,0,NA,NA,4,2006,"WD","Normal",11,11,10,270
"766",766,1,20,"RL",75,14587,NA,"Somerst","Norm","Norm","1Fam","1Story",9,5,"CompShg","VinylSd","VinylSd","Gd","TA","Gd","TA","Unf",0,"Unf",0,1498,1498,"GasA","SBrkr",1506,0,0,1506,0,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2,592,"TA","TA",0,174,0,0,0,0,NA,NA,8,2008,"New","Partial",0,0,0,264.132
"767",767,1,60,"RL",80,10421,NA,"NWAmes","Norm","Norm","1Fam","2Story",7,5,"CompShg","HdBoard","HdBoard","TA","TA","Gd","TA","GLQ",394,"Unf",0,586,980,"GasA","SBrkr",980,734,0,1714,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",2,496,"TA","TA",228,66,156,0,0,0,NA,"MnPrv",3,2010,"WD","Normal",22,22,22,196.5
"768",768,1,50,"RL",75,12508,NA,"Mitchel","Norm","Norm","1Fam","1.5Fin",6,7,"CompShg","VinylSd","VinylSd","TA","TA","Gd","TA","ALQ",660,"Unf",0,323,983,"GasA","SBrkr",983,767,0,1750,1,0,2,0,4,1,"TA",7,"Mod",0,"Attchd",1,423,"TA","TA",245,0,156,0,0,0,NA,NA,7,2008,"WD","Normal",68,19,23,160
